org_id remap_id freebase_id
28891 0 https://myanimelist.net/anime/28891
23273 1 https://myanimelist.net/anime/23273
34599 2 https://myanimelist.net/anime/34599
5114 3 https://myanimelist.net/anime/5114
31758 4 https://myanimelist.net/anime/31758
199 5 https://myanimelist.net/anime/199
38000 6 https://myanimelist.net/anime/38000
2904 7 https://myanimelist.net/anime/2904
32935 8 https://myanimelist.net/anime/32935
34096 9 https://myanimelist.net/anime/34096
15335 10 https://myanimelist.net/anime/15335
918 11 https://myanimelist.net/anime/918
4181 12 https://myanimelist.net/anime/4181
15417 13 https://myanimelist.net/anime/15417
30276 14 https://myanimelist.net/anime/30276
16664 15 https://myanimelist.net/anime/16664
4672 16 https://myanimelist.net/anime/4672
8038 17 https://myanimelist.net/anime/8038
1425 18 https://myanimelist.net/anime/1425
35363 19 https://myanimelist.net/anime/35363
6862 20 https://myanimelist.net/anime/6862
5680 21 https://myanimelist.net/anime/5680
451 22 https://myanimelist.net/anime/451
33280 23 https://myanimelist.net/anime/33280
36369 24 https://myanimelist.net/anime/36369
31637 25 https://myanimelist.net/anime/31637
38145 26 https://myanimelist.net/anime/38145
552 27 https://myanimelist.net/anime/552
1689 28 https://myanimelist.net/anime/1689
34944 29 https://myanimelist.net/anime/34944
36214 30 https://myanimelist.net/anime/36214
33064 31 https://myanimelist.net/anime/33064
11001 32 https://myanimelist.net/anime/11001
39940 33 https://myanimelist.net/anime/39940
322 34 https://myanimelist.net/anime/322
97 35 https://myanimelist.net/anime/97
468 36 https://myanimelist.net/anime/468
7645 37 https://myanimelist.net/anime/7645
3604 38 https://myanimelist.net/anime/3604
1491 39 https://myanimelist.net/anime/1491
19319 40 https://myanimelist.net/anime/19319
1571 41 https://myanimelist.net/anime/1571
35222 42 https://myanimelist.net/anime/35222
269 43 https://myanimelist.net/anime/269
30123 44 https://myanimelist.net/anime/30123
32998 45 https://myanimelist.net/anime/32998
202 46 https://myanimelist.net/anime/202
32380 47 https://myanimelist.net/anime/32380
35860 48 https://myanimelist.net/anime/35860
3092 49 https://myanimelist.net/anime/3092
38084 50 https://myanimelist.net/anime/38084
37033 51 https://myanimelist.net/anime/37033
28999 52 https://myanimelist.net/anime/28999
388 53 https://myanimelist.net/anime/388
9724 54 https://myanimelist.net/anime/9724
20057 55 https://myanimelist.net/anime/20057
1172 56 https://myanimelist.net/anime/1172
2273 57 https://myanimelist.net/anime/2273
11887 58 https://myanimelist.net/anime/11887
11135 59 https://myanimelist.net/anime/11135
267 60 https://myanimelist.net/anime/267
6768 61 https://myanimelist.net/anime/6768
15771 62 https://myanimelist.net/anime/15771
82 63 https://myanimelist.net/anime/82
3782 64 https://myanimelist.net/anime/3782
12413 65 https://myanimelist.net/anime/12413
5630 66 https://myanimelist.net/anime/5630
38816 67 https://myanimelist.net/anime/38816
29787 68 https://myanimelist.net/anime/29787
2321 69 https://myanimelist.net/anime/2321
4447 70 https://myanimelist.net/anime/4447
1505 71 https://myanimelist.net/anime/1505
1472 72 https://myanimelist.net/anime/1472
9465 73 https://myanimelist.net/anime/9465
35507 74 https://myanimelist.net/anime/35507
38349 75 https://myanimelist.net/anime/38349
12445 76 https://myanimelist.net/anime/12445
1254 77 https://myanimelist.net/anime/1254
35073 78 https://myanimelist.net/anime/35073
597 79 https://myanimelist.net/anime/597
569 80 https://myanimelist.net/anime/569
14349 81 https://myanimelist.net/anime/14349
249 82 https://myanimelist.net/anime/249
12893 83 https://myanimelist.net/anime/12893
532 84 https://myanimelist.net/anime/532
21185 85 https://myanimelist.net/anime/21185
890 86 https://myanimelist.net/anime/890
543 87 https://myanimelist.net/anime/543
949 88 https://myanimelist.net/anime/949
8310 89 https://myanimelist.net/anime/8310
35678 90 https://myanimelist.net/anime/35678
15809 91 https://myanimelist.net/anime/15809
7304 92 https://myanimelist.net/anime/7304
1366 93 https://myanimelist.net/anime/1366
17909 94 https://myanimelist.net/anime/17909
10521 95 https://myanimelist.net/anime/10521
22319 96 https://myanimelist.net/anime/22319
400 97 https://myanimelist.net/anime/400
9088 98 https://myanimelist.net/anime/9088
20 99 https://myanimelist.net/anime/20
2890 100 https://myanimelist.net/anime/2890
6702 101 https://myanimelist.net/anime/6702
2035 102 https://myanimelist.net/anime/2035
6351 103 https://myanimelist.net/anime/6351
4163 104 https://myanimelist.net/anime/4163
1695 105 https://myanimelist.net/anime/1695
187 106 https://myanimelist.net/anime/187
14175 107 https://myanimelist.net/anime/14175
35120 108 https://myanimelist.net/anime/35120
779 109 https://myanimelist.net/anime/779
10012 110 https://myanimelist.net/anime/10012
2605 111 https://myanimelist.net/anime/2605
31973 112 https://myanimelist.net/anime/31973
4985 113 https://myanimelist.net/anime/4985
3572 114 https://myanimelist.net/anime/3572
4280 115 https://myanimelist.net/anime/4280
5781 116 https://myanimelist.net/anime/5781
10029 117 https://myanimelist.net/anime/10029
7062 118 https://myanimelist.net/anime/7062
2623 119 https://myanimelist.net/anime/2623
790 120 https://myanimelist.net/anime/790
8408 121 https://myanimelist.net/anime/8408
780 122 https://myanimelist.net/anime/780
658 123 https://myanimelist.net/anime/658
22 124 https://myanimelist.net/anime/22
9926 125 https://myanimelist.net/anime/9926
2762 126 https://myanimelist.net/anime/2762
33899 127 https://myanimelist.net/anime/33899
967 128 https://myanimelist.net/anime/967
30415 129 https://myanimelist.net/anime/30415
11239 130 https://myanimelist.net/anime/11239
6505 131 https://myanimelist.net/anime/6505
32093 132 https://myanimelist.net/anime/32093
114 133 https://myanimelist.net/anime/114
85 134 https://myanimelist.net/anime/85
25649 135 https://myanimelist.net/anime/25649
996 136 https://myanimelist.net/anime/996
6586 137 https://myanimelist.net/anime/6586
3588 138 https://myanimelist.net/anime/3588
12815 139 https://myanimelist.net/anime/12815
24 140 https://myanimelist.net/anime/24
17549 141 https://myanimelist.net/anime/17549
18429 142 https://myanimelist.net/anime/18429
13331 143 https://myanimelist.net/anime/13331
9289 144 https://myanimelist.net/anime/9289
36370 145 https://myanimelist.net/anime/36370
22961 146 https://myanimelist.net/anime/22961
1470 147 https://myanimelist.net/anime/1470
39565 148 https://myanimelist.net/anime/39565
9513 149 https://myanimelist.net/anime/9513
28 150 https://myanimelist.net/anime/28
793 151 https://myanimelist.net/anime/793
9941 152 https://myanimelist.net/anime/9941
27775 153 https://myanimelist.net/anime/27775
1088 154 https://myanimelist.net/anime/1088
387 155 https://myanimelist.net/anime/387
1594 156 https://myanimelist.net/anime/1594
12113 157 https://myanimelist.net/anime/12113
37786 158 https://myanimelist.net/anime/37786
31098 159 https://myanimelist.net/anime/31098
2618 160 https://myanimelist.net/anime/2618
2159 161 https://myanimelist.net/anime/2159
36215 162 https://myanimelist.net/anime/36215
25161 163 https://myanimelist.net/anime/25161
10721 164 https://myanimelist.net/anime/10721
36563 165 https://myanimelist.net/anime/36563
427 166 https://myanimelist.net/anime/427
31339 167 https://myanimelist.net/anime/31339
73 168 https://myanimelist.net/anime/73
29893 169 https://myanimelist.net/anime/29893
35382 170 https://myanimelist.net/anime/35382
4106 171 https://myanimelist.net/anime/4106
339 172 https://myanimelist.net/anime/339
1089 173 https://myanimelist.net/anime/1089
7711 174 https://myanimelist.net/anime/7711
10080 175 https://myanimelist.net/anime/10080
27989 176 https://myanimelist.net/anime/27989
7338 177 https://myanimelist.net/anime/7338
15 178 https://myanimelist.net/anime/15
66 179 https://myanimelist.net/anime/66
11113 180 https://myanimelist.net/anime/11113
2154 181 https://myanimelist.net/anime/2154
28297 182 https://myanimelist.net/anime/28297
31251 183 https://myanimelist.net/anime/31251
33489 184 https://myanimelist.net/anime/33489
416 185 https://myanimelist.net/anime/416
5678 186 https://myanimelist.net/anime/5678
9996 187 https://myanimelist.net/anime/9996
645 188 https://myanimelist.net/anime/645
21877 189 https://myanimelist.net/anime/21877
122 190 https://myanimelist.net/anime/122
35968 191 https://myanimelist.net/anime/35968
77 192 https://myanimelist.net/anime/77
11739 193 https://myanimelist.net/anime/11739
934 194 https://myanimelist.net/anime/934
268 195 https://myanimelist.net/anime/268
401 196 https://myanimelist.net/anime/401
29803 197 https://myanimelist.net/anime/29803
24997 198 https://myanimelist.net/anime/24997
17265 199 https://myanimelist.net/anime/17265
39468 200 https://myanimelist.net/anime/39468
37435 201 https://myanimelist.net/anime/37435
14075 202 https://myanimelist.net/anime/14075
21647 203 https://myanimelist.net/anime/21647
9204 204 https://myanimelist.net/anime/9204
5682 205 https://myanimelist.net/anime/5682
10049 206 https://myanimelist.net/anime/10049
14807 207 https://myanimelist.net/anime/14807
1530 208 https://myanimelist.net/anime/1530
33970 209 https://myanimelist.net/anime/33970
2951 210 https://myanimelist.net/anime/2951
227 211 https://myanimelist.net/anime/227
4059 212 https://myanimelist.net/anime/4059
2563 213 https://myanimelist.net/anime/2563
4772 214 https://myanimelist.net/anime/4772
32995 215 https://myanimelist.net/anime/32995
33926 216 https://myanimelist.net/anime/33926
31490 217 https://myanimelist.net/anime/31490
36896 218 https://myanimelist.net/anime/36896
15039 219 https://myanimelist.net/anime/15039
1065 220 https://myanimelist.net/anime/1065
39592 221 https://myanimelist.net/anime/39592
81 222 https://myanimelist.net/anime/81
5029 223 https://myanimelist.net/anime/5029
16001 224 https://myanimelist.net/anime/16001
23199 225 https://myanimelist.net/anime/23199
4789 226 https://myanimelist.net/anime/4789
25879 227 https://myanimelist.net/anime/25879
1943 228 https://myanimelist.net/anime/1943
37675 229 https://myanimelist.net/anime/37675
1453 230 https://myanimelist.net/anime/1453
28725 231 https://myanimelist.net/anime/28725
6421 232 https://myanimelist.net/anime/6421
31173 233 https://myanimelist.net/anime/31173
14813 234 https://myanimelist.net/anime/14813
32615 235 https://myanimelist.net/anime/32615
16049 236 https://myanimelist.net/anime/16049
35790 237 https://myanimelist.net/anime/35790
2150 238 https://myanimelist.net/anime/2150
535 239 https://myanimelist.net/anime/535
30015 240 https://myanimelist.net/anime/30015
31174 241 https://myanimelist.net/anime/31174
20507 242 https://myanimelist.net/anime/20507
851 243 https://myanimelist.net/anime/851
12031 244 https://myanimelist.net/anime/12031
153 245 https://myanimelist.net/anime/153
9963 246 https://myanimelist.net/anime/9963
889 247 https://myanimelist.net/anime/889
21469 248 https://myanimelist.net/anime/21469
12477 249 https://myanimelist.net/anime/12477
14713 250 https://myanimelist.net/anime/14713
16 251 https://myanimelist.net/anime/16
589 252 https://myanimelist.net/anime/589
7465 253 https://myanimelist.net/anime/7465
1363 254 https://myanimelist.net/anime/1363
4901 255 https://myanimelist.net/anime/4901
781 256 https://myanimelist.net/anime/781
6211 257 https://myanimelist.net/anime/6211
1486 258 https://myanimelist.net/anime/1486
3783 259 https://myanimelist.net/anime/3783
72 260 https://myanimelist.net/anime/72
223 261 https://myanimelist.net/anime/223
2164 262 https://myanimelist.net/anime/2164
1471 263 https://myanimelist.net/anime/1471
27663 264 https://myanimelist.net/anime/27663
5365 265 https://myanimelist.net/anime/5365
29831 266 https://myanimelist.net/anime/29831
